dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,single_trial_correlation,cell_id
,,[-0.25 -0.26],"[[-0.02 -0.03]
 [-0.01 -0.01]]",[0.73 0.73],"[[0.07 0.04]
 [0.04 0.02]]",[ 0.27 -1.  ],[-1.    0.96],[-0.6  -0.33],[ 0.92 -0.99],[-0.85  0.07],"[[ 0.   -0.01]
 [ 0.02  0.01]]","[[ 0.04 -0.06]
 [-0.   -0.  ]]","[[ 0.01 -0.  ]
 [ 0.01 -0.01]]","[[-0.17 -0.09]
 [-0.09 -0.05]]","[[-0.  0.]
 [-0. -0.]]",,
,,[-0.01 -0.24],"[[-0.02  0.  ]
 [-0.01 -0.01]]",[0.71 0.7 ],"[[0.1  0.03]
 [0.01 0.01]]",[ 0.72 -1.  ],[-0.97  0.82],[-0.25 -0.25],[ 0.89 -0.99],[-0.45  0.21],"[[-0.01  0.  ]
 [-0.01  0.  ]]","[[ 0.09  0.05]
 [-0.01 -0.02]]","[[0.01 0.  ]
 [0.01 0.01]]","[[-0.21 -0.03]
 [-0.02 -0.03]]","[[ 0.    0.  ]
 [-0.01 -0.  ]]",,
,,[ 0.11 -0.21],"[[-0.02 -0.01]
 [-0.04 -0.01]]",[0.73 0.72],"[[0.05 0.02]
 [0.07 0.04]]",[ 1. -1.],[-0.97  0.84],[-0.06 -0.19],[ 0.84 -0.98],[-0.25  0.29],"[[-0.01 -0.  ]
 [-0.01  0.  ]]","[[ 0.01 -0.  ]
 [-0.    0.03]]","[[ 0.   -0.  ]
 [ 0.01 -0.01]]","[[-0.13 -0.06]
 [-0.19 -0.09]]","[[-0.    0.  ]
 [-0.01 -0.  ]]",,
,,[ 0.13 -0.2 ],"[[ 0.02 -0.02]
 [ 0.03 -0.  ]]",[0.72 0.72],"[[0.04 0.05]
 [0.05 0.  ]]",[ 1. -1.],[-0.98  0.84],[ 0.   -0.18],[ 0.84 -0.98],[-0.21  0.3 ],"[[-0.01  0.01]
 [-0.02  0.  ]]","[[ 0.02 -0.12]
 [ 0.02 -0.  ]]","[[-0.  0.]
 [ 0. -0.]]","[[ 0.11 -0.01]
 [ 0.13 -0.01]]","[[-0.    0.  ]
 [ 0.    0.01]]",,
,,[ 0.17 -0.2 ],"[[ 0.02  0.03]
 [-0.02 -0.01]]",[0.71 0.73],"[[0.06 0.04]
 [0.05 0.03]]",[ 1. -1.],[-0.98  0.88],[ 0.09 -0.16],[ 0.83 -0.98],[-0.09  0.28],"[[ 0.   -0.01]
 [ 0.   -0.01]]","[[-0.05  0.07]
 [ 0.01 -0.05]]","[[ 0.   -0.  ]
 [ 0.01 -0.01]]","[[ 0.12  0.09]
 [-0.12  0.03]]","[[-0.    0.01]
 [-0.    0.  ]]",,
,,[ 0.14 -0.18],"[[-0.01  0.04]
 [ 0.01  0.02]]",[0.74 0.74],"[[0.06 0.05]
 [0.01 0.07]]",[ 1. -1.],[-0.99  0.89],[-0.01 -0.1 ],[ 0.89 -0.99],[-0.19  0.3 ],"[[ 0.   -0.  ]
 [ 0.    0.02]]","[[-0.12  0.08]
 [ 0.02 -0.05]]","[[ 0.    0.  ]
 [ 0.   -0.01]]","[[0.07 0.12]
 [0.03 0.16]]","[[-0.  0.]
 [-0. -0.]]",,
,,[ 0.12 -0.21],"[[0.07 0.06]
 [0.   0.02]]",[0.73 0.71],"[[0.12 0.08]
 [0.08 0.02]]",[ 1. -1.],[-0.97  0.83],[-0.05 -0.18],[ 0.84 -0.98],[-0.24  0.3 ],"[[ 0.    0.01]
 [-0.01 -0.  ]]","[[0.03 0.22]
 [0.14 0.06]]","[[ 0.   -0.01]
 [-0.    0.  ]]","[[ 0.31  0.08]
 [-0.12  0.02]]","[[-0.  0.]
 [-0.  0.]]",,
,,[ 0.11 -0.19],"[[-0.05 -0.  ]
 [ 0.02  0.05]]",[0.74 0.73],"[[0.12 0.01]
 [0.03 0.05]]",[ 1. -1.],[-0.98  0.87],[-0.07 -0.12],[ 0.88 -0.99],[-0.26  0.28],"[[ 0.   -0.01]
 [ 0.02  0.01]]","[[ 0.03 -0.02]
 [ 0.07  0.1 ]]","[[ 0.    0.  ]
 [-0.   -0.01]]","[[-0.29  0.02]
 [-0.01  0.13]]","[[-0. -0.]
 [ 0.  0.]]",,
,,[ 0.13 -0.18],"[[-0.02 -0.  ]
 [-0.01  0.02]]",[0.74 0.74],"[[0.04 0.03]
 [0.02 0.02]]",[ 1. -1.],[-0.99  0.91],[-0.04 -0.1 ],[ 0.9  -0.99],[-0.22  0.3 ],"[[-0.01 -0.01]
 [-0.    0.01]]","[[-0.09  0.04]
 [-0.05  0.05]]","[[-0.01 -0.  ]
 [ 0.01 -0.  ]]","[[ 0.02 -0.06]
 [-0.    0.03]]","[[-0.  0.]
 [ 0. -0.]]",,
,,[ 0.03 -0.24],"[[-0.01  0.04]
 [-0.   -0.01]]",[0.7 0.7],"[[0.04 0.1 ]
 [0.04 0.03]]",[ 0.78 -1.  ],[-0.96  0.8 ],[-0.17 -0.23],[ 0.86 -0.98],[-0.37  0.23],"[[0.   0.  ]
 [0.   0.02]]","[[-0.08 -0.04]
 [-0.06 -0.07]]","[[ 0.   -0.  ]
 [-0.   -0.01]]","[[0.05 0.22]
 [0.05 0.02]]","[[-0.  0.]
 [-0.  0.]]",,
,,[ 0.15 -0.2 ],"[[ 0.01  0.07]
 [-0.04 -0.02]]",[0.72 0.72],"[[0.03 0.08]
 [0.05 0.03]]",[ 1. -1.],[-0.97  0.83],[ 0.07 -0.17],[ 0.85 -0.98],[-0.19  0.3 ],"[[ 0.01  0.01]
 [-0.01 -0.01]]","[[-0.03  0.19]
 [-0.12 -0.05]]","[[-0.01  0.01]
 [-0.    0.  ]]","[[ 0.07  0.14]
 [-0.08 -0.06]]","[[-0.    0.01]
 [ 0.   -0.  ]]",,
,,[ 0.19 -0.19],"[[ 0.02  0.  ]
 [-0.   -0.01]]",[0.71 0.73],"[[0.06 0.01]
 [0.01 0.05]]",[ 1. -1.],[-0.98  0.88],[ 0.13 -0.16],[ 0.86 -0.98],[-0.05  0.29],"[[-0.  0.]
 [ 0. -0.]]","[[-0.01 -0.  ]
 [ 0.01  0.04]]","[[-0.   -0.01]
 [ 0.01  0.01]]","[[ 0.14  0.03]
 [-0.03 -0.11]]","[[-0.   -0.  ]
 [ 0.   -0.01]]",,
,,[ 0.18 -0.2 ],"[[ 0.03 -0.04]
 [-0.01  0.01]]",[0.71 0.72],"[[0.11 0.05]
 [0.02 0.01]]",[ 1. -1.],[-0.98  0.86],[ 0.13 -0.16],[ 0.86 -0.98],[-0.09  0.28],"[[0.01 0.  ]
 [0.01 0.01]]","[[-0.09 -0.07]
 [-0.   -0.01]]","[[ 0.   -0.  ]
 [-0.01  0.  ]]","[[ 0.23 -0.13]
 [-0.06  0.03]]","[[-0.   -0.  ]
 [ 0.    0.01]]",,
,,[ 0.03 -0.19],"[[ 0.01  0.03]
 [-0.02  0.02]]",[0.71 0.74],"[[0.05 0.13]
 [0.05 0.02]]",[ 0.77 -1.  ],[-0.99  0.93],[-0.18 -0.12],[ 0.9  -0.99],[-0.36  0.23],"[[-0.   -0.  ]
 [-0.01  0.01]]","[[ 0.11 -0.13]
 [ 0.04  0.04]]","[[-0.   -0.01]
 [-0.01 -0.  ]]","[[-0.05  0.27]
 [-0.12  0.06]]","[[-0.    0.  ]
 [-0.    0.01]]",,
,,[ 0.12 -0.21],"[[0.01 0.09]
 [0.03 0.04]]",[0.73 0.73],"[[0.05 0.11]
 [0.09 0.05]]",[ 1. -1.],[-0.98  0.89],[-0.04 -0.19],[ 0.86 -0.98],[-0.23  0.25],"[[ 0. -0.]
 [-0. -0.]]","[[ 0.12  0.26]
 [-0.05  0.08]]","[[-0.    0.  ]
 [-0.01 -0.  ]]","[[-0.04  0.19]
 [ 0.19  0.12]]","[[-0.  0.]
 [-0. -0.]]",,
,,[-0.15 -0.24],"[[ 0.02  0.  ]
 [-0.02  0.01]]",[0.73 0.73],"[[0.06 0.04]
 [0.04 0.04]]",[ 0.5 -1. ],[-0.99  0.93],[-0.46 -0.29],[ 0.91 -0.99],[-0.68  0.15],"[[-0.    0.01]
 [ 0.01 -0.01]]","[[-0.05  0.06]
 [-0.   -0.03]]","[[-0.    0.01]
 [ 0.01 -0.  ]]","[[ 0.14 -0.07]
 [-0.1   0.08]]","[[ 0.  0.]
 [-0. -0.]]",,
,,[ 0.14 -0.18],"[[-0.03 -0.04]
 [ 0.03 -0.02]]",[0.73 0.73],"[[0.06 0.07]
 [0.09 0.07]]",[ 1. -1.],[-0.98  0.88],[-0.02 -0.11],[ 0.89 -0.99],[-0.2  0.3],"[[0.01 0.01]
 [0.   0.02]]","[[-0.03 -0.05]
 [ 0.2   0.01]]","[[-0.  0.]
 [ 0.  0.]]","[[-0.14 -0.17]
 [-0.06 -0.15]]","[[0.   0.  ]
 [0.   0.01]]",,
,,[-0.05 -0.2 ],"[[-0.01 -0.04]
 [ 0.01  0.01]]",[0.72 0.74],"[[0.02 0.06]
 [0.04 0.06]]",[ 0.66 -1.  ],[-0.99  0.94],[-0.33 -0.16],[ 0.9  -0.99],[-0.51  0.2 ],"[[-0.    0.  ]
 [-0.01  0.  ]]","[[-0.05 -0.15]
 [-0.04  0.12]]","[[-0.    0.  ]
 [ 0.01  0.  ]]","[[ 0.01 -0.05]
 [ 0.08 -0.06]]","[[-0.  0.]
 [-0. -0.]]",,
,,[ 0.12 -0.17],"[[-0.05 -0.01]
 [ 0.   -0.01]]",[0.74 0.74],"[[0.08 0.01]
 [0.   0.02]]",[ 1. -1.],[-0.99  0.91],[-0.05 -0.09],[ 0.9  -0.99],[-0.24  0.3 ],"[[-0.   -0.01]
 [-0.    0.  ]]","[[-0.05 -0.01]
 [ 0.01 -0.05]]","[[ 0.   -0.01]
 [-0.   -0.  ]]","[[-0.21 -0.04]
 [ 0.   -0.02]]","[[ 0.   -0.  ]
 [ 0.01  0.01]]",,
,,[ 0.17 -0.21],"[[-0.03 -0.  ]
 [ 0.01  0.01]]",[0.72 0.72],"[[0.04 0.03]
 [0.02 0.03]]",[ 1. -1.],[-0.98  0.86],[ 0.08 -0.17],[ 0.88 -0.99],[-0.15  0.27],"[[-0.   -0.01]
 [ 0.   -0.01]]","[[-0.03  0.04]
 [-0.01 -0.02]]","[[ 0.01 -0.  ]
 [-0.    0.01]]","[[-0.11 -0.04]
 [ 0.05  0.08]]","[[-0.  0.]
 [-0. -0.]]",,
,,[ 0.18 -0.19],"[[-0.01 -0.  ]
 [ 0.01  0.01]]",[0.71 0.73],"[[0.   0.05]
 [0.02 0.02]]",[ 1. -1.],[-0.99  0.9 ],[ 0.12 -0.16],[ 0.84 -0.98],[-0.05  0.29],"[[ 0.   -0.  ]
 [-0.01 -0.01]]","[[-0.01  0.07]
 [ 0.03  0.03]]","[[-0.01  0.  ]
 [-0.01  0.  ]]","[[-0.01 -0.08]
 [ 0.03  0.05]]","[[-0. -0.]
 [ 0. -0.]]",,
,,[ 0.12 -0.19],"[[-0.02 -0.05]
 [-0.05  0.01]]",[0.73 0.72],"[[0.04 0.06]
 [0.07 0.01]]",[ 1. -1.],[-0.97  0.83],[-0.04 -0.12],[ 0.86 -0.98],[-0.23  0.3 ],"[[ 0.   -0.  ]
 [ 0.01  0.  ]]","[[-0.11 -0.09]
 [-0.15  0.01]]","[[-0.  0.]
 [-0.  0.]]","[[ 0.01 -0.13]
 [-0.13  0.02]]","[[-0. -0.]
 [-0.  0.]]",,
,,[ 0.16 -0.2 ],"[[ 0.03  0.04]
 [-0.03 -0.02]]",[0.71 0.72],"[[0.08 0.05]
 [0.04 0.08]]",[ 1. -1.],[-0.98  0.86],[ 0.08 -0.17],[ 0.83 -0.98],[-0.13  0.27],"[[-0.   -0.01]
 [-0.01 -0.  ]]","[[-0.02  0.08]
 [-0.11  0.07]]","[[-0.  0.]
 [-0. -0.]]","[[ 0.19  0.11]
 [-0.02 -0.16]]","[[ 0. -0.]
 [ 0.  0.]]",,
,,[-0.06 -0.21],"[[-0.04  0.  ]
 [-0.02  0.  ]]",[0.72 0.74],"[[0.05 0.07]
 [0.07 0.01]]",[ 0.65 -1.  ],[-0.99  0.94],[-0.33 -0.18],[ 0.9  -0.99],[-0.51  0.19],"[[-0.    0.  ]
 [-0.01 -0.  ]]","[[-0.1  -0.1 ]
 [ 0.05  0.02]]","[[0.01 0.  ]
 [0.01 0.  ]]","[[-0.11  0.1 ]
 [-0.15 -0.01]]","[[ 0.    0.  ]
 [-0.01  0.  ]]",,
,,[ 0.18 -0.2 ],"[[-0.03  0.02]
 [-0.03 -0.04]]",[0.71 0.72],"[[0.07 0.04]
 [0.06 0.05]]",[ 1. -1.],[-0.98  0.85],[ 0.12 -0.16],[ 0.86 -0.98],[-0.1   0.28],"[[-0.    0.  ]
 [ 0.    0.01]]","[[ 0.02  0.1 ]
 [ 0.   -0.06]]","[[-0. -0.]
 [-0.  0.]]","[[-0.16 -0.02]
 [-0.15 -0.13]]","[[ 0.  0.]
 [ 0. -0.]]",,
,,[-0.11 -0.24],"[[ 0.02 -0.01]
 [-0.    0.03]]",[0.72 0.73],"[[0.07 0.05]
 [0.01 0.03]]",[ 0.58 -1.  ],[-0.99  0.93],[-0.42 -0.28],[ 0.9  -0.99],[-0.62  0.17],"[[-0.    0.  ]
 [ 0.01  0.01]]","[[-0.04 -0.11]
 [-0.03  0.07]]","[[-0.  0.]
 [-0.  0.]]","[[0.16 0.06]
 [0.01 0.04]]","[[ 0.  0.]
 [-0.  0.]]",,
,,[-0.03 -0.24],"[[-0.02 -0.03]
 [ 0.    0.03]]",[0.71 0.71],"[[0.03 0.08]
 [0.05 0.04]]",[ 0.67 -1.  ],[-0.97  0.83],[-0.29 -0.26],[ 0.92 -0.99],[-0.49  0.2 ],"[[ 0.01 -0.  ]
 [-0.01  0.01]]","[[-0.02  0.04]
 [-0.06  0.02]]","[[-0.01 -0.01]
 [-0.01 -0.  ]]","[[-0.07 -0.19]
 [ 0.1   0.09]]","[[-0.  0.]
 [-0. -0.]]",,
,,[ 0.17 -0.2 ],"[[-0.02  0.03]
 [-0.02 -0.  ]]",[0.71 0.72],"[[0.02 0.05]
 [0.03 0.06]]",[ 1. -1.],[-0.98  0.85],[ 0.1  -0.16],[ 0.83 -0.98],[-0.12  0.27],"[[-0.    0.  ]
 [-0.    0.01]]","[[-0.04  0.03]
 [-0.03  0.08]]","[[ 0.   -0.  ]
 [ 0.01 -0.01]]","[[-0.05  0.14]
 [-0.08 -0.1 ]]","[[ 0.   -0.  ]
 [-0.01  0.  ]]",,
,,[ 0.12 -0.2 ],"[[ 0.01  0.03]
 [-0.01 -0.  ]]",[0.73 0.71],"[[0.02 0.06]
 [0.01 0.03]]",[ 1. -1.],[-0.97  0.81],[-0.05 -0.15],[ 0.85 -0.98],[-0.24  0.3 ],"[[-0.    0.01]
 [-0.01  0.  ]]","[[ 0.01  0.14]
 [-0.02  0.03]]","[[-0.   -0.  ]
 [-0.    0.01]]","[[ 0.04 -0.01]
 [-0.02 -0.06]]","[[-0. -0.]
 [-0. -0.]]",,
,,[ 0.18 -0.2 ],"[[-0.04 -0.  ]
 [-0.02  0.04]]",[0.72 0.72],"[[0.05 0.05]
 [0.03 0.09]]",[ 1. -1.],[-0.98  0.86],[ 0.12 -0.16],[ 0.86 -0.98],[-0.1   0.28],"[[-0.  0.]
 [-0.  0.]]","[[-0.13 -0.08]
 [-0.01 -0.02]]","[[ 0.   -0.  ]
 [-0.01 -0.  ]]","[[-0.07  0.08]
 [-0.09  0.22]]","[[ 0. -0.]
 [-0.  0.]]",,
,,[ 0.13 -0.2 ],"[[ 0.01 -0.04]
 [ 0.01 -0.02]]",[0.72 0.72],"[[0.   0.04]
 [0.04 0.06]]",[ 1. -1.],[-0.98  0.85],[-0.02 -0.19],[ 0.84 -0.98],[-0.21  0.29],"[[ 0.01 -0.01]
 [ 0.    0.  ]]","[[ 0.01 -0.07]
 [-0.04  0.04]]","[[ 0.   -0.01]
 [ 0.    0.  ]]","[[ 0.01 -0.11]
 [ 0.07 -0.14]]","[[ 0. -0.]
 [-0.  0.]]",,
,,[ 0.14 -0.2 ],"[[0.02 0.  ]
 [0.02 0.03]]",[0.72 0.72],"[[0.03 0.03]
 [0.03 0.04]]",[ 1. -1.],[-0.98  0.87],[ 0.04 -0.18],[ 0.83 -0.98],[-0.18  0.29],"[[ 0. -0.]
 [-0.  0.]]","[[-0.   -0.04]
 [ 0.04  0.04]]","[[-0.    0.  ]
 [-0.01  0.  ]]","[[0.08 0.06]
 [0.07 0.09]]","[[-0.    0.  ]
 [ 0.01 -0.  ]]",,
,,[ 0.18 -0.2 ],"[[-0.09  0.04]
 [-0.02 -0.01]]",[0.71 0.72],"[[0.12 0.06]
 [0.06 0.09]]",[ 1. -1.],[-0.98  0.86],[ 0.11 -0.16],[ 0.83 -0.98],[-0.09  0.28],"[[-0.01 -0.01]
 [-0.01 -0.01]]","[[-0.18  0.14]
 [ 0.04 -0.17]]","[[ 0.   -0.01]
 [ 0.01 -0.  ]]","[[-0.27  0.09]
 [-0.14  0.1 ]]","[[ 0. -0.]
 [-0.  0.]]",,
,,[ 0.17 -0.2 ],"[[-0.03  0.02]
 [-0.   -0.  ]]",[0.71 0.72],"[[0.03 0.05]
 [0.01 0.  ]]",[ 1. -1.],[-0.98  0.87],[ 0.1  -0.16],[ 0.83 -0.98],[-0.09  0.28],"[[ 0.   -0.01]
 [ 0.01 -0.01]]","[[-0.07 -0.  ]
 [-0.01 -0.01]]","[[ 0. -0.]
 [-0.  0.]]","[[-0.06  0.11]
 [-0.01  0.  ]]","[[-0. -0.]
 [-0. -0.]]",,
,,[ 0.02 -0.23],"[[ 0.04  0.03]
 [-0.02  0.05]]",[0.7 0.7],"[[0.08 0.09]
 [0.03 0.08]]",[ 0.78 -1.  ],[-0.97  0.81],[-0.18 -0.23],[ 0.86 -0.98],[-0.38  0.22],"[[ 0.    0.  ]
 [ 0.01 -0.  ]]","[[-0.   -0.06]
 [-0.01  0.04]]","[[-0.    0.01]
 [-0.    0.01]]","[[ 0.19  0.2 ]
 [-0.07  0.22]]","[[0.   0.  ]
 [0.   0.01]]",,
,,[-0.07 -0.22],"[[-0.07  0.08]
 [-0.03  0.03]]",[0.72 0.73],"[[0.1  0.13]
 [0.05 0.04]]",[ 0.62 -1.  ],[-0.99  0.93],[-0.36 -0.23],[ 0.9  -0.99],[-0.54  0.19],"[[-0.   -0.  ]
 [-0.    0.02]]","[[-0.09  0.07]
 [-0.02  0.03]]","[[-0.    0.  ]
 [ 0.    0.01]]","[[-0.26  0.34]
 [-0.14  0.11]]","[[-0.  0.]
 [ 0. -0.]]",,
,,[ 0.02 -0.23],"[[-0.03 -0.  ]
 [ 0.02 -0.04]]",[0.71 0.71],"[[0.04 0.05]
 [0.04 0.07]]",[ 0.79 -1.  ],[-0.97  0.83],[-0.19 -0.23],[ 0.88 -0.98],[-0.39  0.22],"[[ 0.01 -0.  ]
 [ 0.01 -0.02]]","[[-0.04  0.07]
 [-0.02 -0.02]]","[[ 0.   -0.01]
 [ 0.   -0.  ]]","[[-0.1  -0.08]
 [ 0.09 -0.17]]","[[-0.01  0.01]
 [ 0.    0.  ]]",,
,,[ 0.16 -0.21],"[[-0.02  0.02]
 [-0.01  0.01]]",[0.71 0.71],"[[0.05 0.03]
 [0.01 0.02]]",[ 1. -1.],[-0.97  0.84],[ 0.1  -0.16],[ 0.83 -0.98],[-0.14  0.27],"[[ 0.01 -0.  ]
 [ 0.01 -0.01]]","[[-0.11  0.06]
 [-0.03  0.05]]","[[-0.    0.  ]
 [-0.01  0.  ]]","[[ 0.01  0.06]
 [-0.02  0.03]]","[[ 0.  0.]
 [-0. -0.]]",,
,,[ 0.11 -0.19],"[[-0.    0.04]
 [-0.05 -0.03]]",[0.74 0.73],"[[0.05 0.1 ]
 [0.06 0.04]]",[ 1. -1.],[-0.98  0.88],[-0.08 -0.12],[ 0.88 -0.99],[-0.26  0.28],"[[ 0.01  0.  ]
 [-0.01  0.01]]","[[ 0.06  0.24]
 [-0.15 -0.08]]","[[ 0.   -0.01]
 [ 0.   -0.  ]]","[[-0.08 -0.04]
 [-0.11 -0.08]]","[[ 0. -0.]
 [ 0.  0.]]",,
,,[ 0.15 -0.19],"[[0.   0.06]
 [0.01 0.03]]",[0.73 0.73],"[[0.02 0.07]
 [0.01 0.04]]",[ 1. -1.],[-0.98  0.86],[ 0.01 -0.11],[ 0.88 -0.99],[-0.18  0.3 ],"[[ 0.    0.01]
 [-0.   -0.  ]]","[[-0.03  0.17]
 [ 0.03  0.02]]","[[-0.01 -0.01]
 [ 0.01  0.01]]","[[0.04 0.13]
 [0.01 0.12]]","[[ 0.   -0.  ]
 [ 0.01  0.01]]",,
,,[-0.13 -0.24],"[[-0.01 -0.03]
 [ 0.03 -0.01]]",[0.72 0.73],"[[0.1  0.08]
 [0.05 0.02]]",[ 0.54 -1.  ],[-0.99  0.92],[-0.44 -0.29],[ 0.9  -0.99],[-0.65  0.16],"[[-0.  0.]
 [-0.  0.]]","[[-0.18 -0.19]
 [ 0.05 -0.04]]","[[-0.    0.  ]
 [-0.01 -0.  ]]","[[ 0.14  0.01]
 [ 0.12 -0.01]]","[[-0. -0.]
 [-0. -0.]]",,
,,[ 0.17 -0.2 ],"[[-0.05 -0.06]
 [-0.03 -0.02]]",[0.71 0.72],"[[0.07 0.08]
 [0.04 0.04]]",[ 1. -1.],[-0.98  0.87],[ 0.1  -0.16],[ 0.83 -0.98],[-0.09  0.28],"[[0.   0.  ]
 [0.01 0.  ]]","[[-0.09 -0.13]
 [-0.07 -0.01]]","[[ 0.   -0.  ]
 [-0.01  0.01]]","[[-0.18 -0.19]
 [-0.08 -0.1 ]]","[[-0.    0.  ]
 [-0.01  0.  ]]",,
